File:         02packages.details.txt
URL:          http://www.perl.com/CPAN/modules/02packages.details.txt
Description:  Package names found in cpanfile.snapshot
Columns:      package name, version, path
Intended-For: Automated fetch routines, namespace documentation.
Written-By:   Carton v1.0.28
Authen::Passphrase::NetscapeMail  0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::NTHash        0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::PHPass        0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::RejectAll     0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::SaltedDigest  0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::Passphrase::VMSPurdy      0.008  Z/ZE/ZEFRAM/Authen-Passphrase-0.008.tar.gz
Authen::SASL                       2.16  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::CRAM_MD5             2.14  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::EXTERNAL             2.14  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::Perl                 2.14  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::Perl::ANONYMOUS      2.14  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::Perl::CRAM_MD5       2.14  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::Perl::DIGEST_MD5     2.14  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::Perl::EXTERNAL       2.14  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::Perl::GSSAPI         0.05  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::Perl::Layer          2.14  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::Perl::LOGIN          2.14  G/GB/GBARR/Authen-SASL-2.16.tar.gz
Authen::SASL::Perl::PLAIN          2.14  G/GB/GBARR/Authen-SASL-2.16.tar.gz
B::Hooks::EndOfScope               0.26  E/ET/ETHER/B-Hooks-EndOfScope-0.26.tar.gz
B::Hooks::EndOfScope::PP           0.26  E/ET/ETHER/B-Hooks-EndOfScope-0.26.tar.gz
B::Hooks::EndOfScope::XS           0.26  E/ET/ETHER/B-Hooks-EndOfScope-0.26.tar.gz
B::Hooks::OP::Annotation           0.44  C/CH/CHOCOLATE/B-Hooks-OP-Annotation-0.44.tar.gz
B::Hooks::OP::Annotation::Install::Files undef  C/CH/CHOCOLATE/B-Hooks-OP-Annotation-0.44.tar.gz
B::Hooks::OP::Check                0.22  E/ET/ETHER/B-Hooks-OP-Check-0.22.tar.gz
B::Hooks::Parser                   0.21  E/ET/ETHER/B-Hooks-Parser-0.21.tar.gz
bareword::filehandles             0.007  I/IL/ILMARI/bareword-filehandles-0.007.tar.gz
Bundle::DBD::Pg                 v3.16.0  T/TU/TURNSTEP/DBD-Pg-3.16.0.tar.gz
Bundle::DBI                    12.008696  T/TI/TIMB/DBI-1.643.tar.gz
Bytes::Random::Secure              0.29  D/DA/DAVIDO/Bytes-Random-Secure-0.29.tar.gz
Bytes::Random::Secure::Tiny       1.011  D/DA/DAVIDO/Bytes-Random-Secure-Tiny-1.011.tar.gz
Cache::Redis                       0.13  S/SO/SONGMU/Cache-Redis-0.13.tar.gz
Canary::Stability                  2013  M/ML/MLEHMANN/Canary-Stability-2013.tar.gz
Capture::Tiny                      0.48  D/DA/DAGOLDEN/Capture-Tiny-0.48.tar.gz
Catalyst                        5.90130  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Action                  undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Action::Deserialize      1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Deserialize::Callback 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Deserialize::JSON 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Deserialize::JSON::XS 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Deserialize::View 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Deserialize::XML::Simple 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Deserialize::YAML 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::DeserializeMultiPart 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::RenderView       0.16  B/BO/BOBTFISH/Catalyst-Action-RenderView-0.16.tar.gz
Catalyst::Action::REST             1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::REST::ForBrowsers 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Serialize        1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Serialize::Callback 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Serialize::JSON  1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Serialize::JSON::XS 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Serialize::JSONP 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Serialize::View  1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Serialize::XML::Simple 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Serialize::YAML  1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::Serialize::YAML::HTML 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Action::SerializeBase    1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::ActionChain             undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::ActionContainer         undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::ActionRole::ConsumesContent undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::ActionRole::HTTPMethods undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::ActionRole::QueryMatching undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::ActionRole::Scheme      undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Authentication::Credential::NoPassword undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Authentication::Credential::Password undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Authentication::Credential::Remote undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Authentication::Realm   undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Authentication::Realm::Compatibility undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Authentication::Realm::Progressive undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Authentication::Store::Minimal undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Authentication::Store::Null undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Authentication::User    undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Authentication::User::Hash undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Base                    undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::ClassData               undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Component               undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Component::ApplicationAttribute undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Component::ContextClosure undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Controller              undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Controller::REST         1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::ControllerRole::CatchErrors 0.05  D/DA/DAVEWOOD/Catalyst-ControllerRole-CatchErrors-0.05.tar.gz
Catalyst::Dispatcher              undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::DispatchType            undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::DispatchType::Chained   undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::DispatchType::Default   undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::DispatchType::Index     undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::DispatchType::Path      undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Engine                  undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::EngineLoader            undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Exception               undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Exception::Base         undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Exception::Basic        undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Exception::Detach       undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Exception::Go           undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Exception::Interface    undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Helper::View::JSON      undef  H/HA/HAARG/Catalyst-View-JSON-0.37.tar.gz
Catalyst::Helper::View::TT         0.46  J/JJ/JJNAPIORK/Catalyst-View-TT-0.46.tar.gz
Catalyst::Helper::View::TTSite     0.46  J/JJ/JJNAPIORK/Catalyst-View-TT-0.46.tar.gz
Catalyst::Log                     undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Middleware::Stash       undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Model                   undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Plugin::Authentication 0.10023  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Plugin::Authentication::Credential::Password undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Plugin::Authentication::Store::Minimal undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Plugin::Authentication::User undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Plugin::Authentication::User::Hash undef  B/BO/BOBTFISH/Catalyst-Plugin-Authentication-0.10023.tar.gz
Catalyst::Plugin::Cache            0.12  B/BO/BOBTFISH/Catalyst-Plugin-Cache-0.12.tar.gz
Catalyst::Plugin::Cache::Backend  undef  B/BO/BOBTFISH/Catalyst-Plugin-Cache-0.12.tar.gz
Catalyst::Plugin::Cache::Backend::Memory undef  B/BO/BOBTFISH/Catalyst-Plugin-Cache-0.12.tar.gz
Catalyst::Plugin::Cache::Choose::KeyRegexes undef  B/BO/BOBTFISH/Catalyst-Plugin-Cache-0.12.tar.gz
Catalyst::Plugin::Cache::Curried  undef  B/BO/BOBTFISH/Catalyst-Plugin-Cache-0.12.tar.gz
Catalyst::Plugin::Cache::Store::Memory undef  B/BO/BOBTFISH/Catalyst-Plugin-Cache-0.12.tar.gz
Catalyst::Plugin::ConfigLoader     0.35  H/HA/HAARG/Catalyst-Plugin-ConfigLoader-0.35.tar.gz
Catalyst::Plugin::DateTime         0.03  J/JK/JKISER/Catalyst-Plugin-DateTime-0.03.tgz
Catalyst::Plugin::I18N             0.10  B/BO/BOBTFISH/Catalyst-Plugin-I18N-0.10.tar.gz
Catalyst::Plugin::Session          0.43  H/HA/HAARG/Catalyst-Plugin-Session-0.43.tar.gz
Catalyst::Plugin::Session::State   0.43  H/HA/HAARG/Catalyst-Plugin-Session-0.43.tar.gz
Catalyst::Plugin::Session::State::Cookie 0.18  H/HA/HAARG/Catalyst-Plugin-Session-State-Cookie-0.18.tar.gz
Catalyst::Plugin::Session::Store   0.43  H/HA/HAARG/Catalyst-Plugin-Session-0.43.tar.gz
Catalyst::Plugin::Session::Store::Dummy 0.43  H/HA/HAARG/Catalyst-Plugin-Session-0.43.tar.gz
Catalyst::Plugin::Session::Store::Redis 0.900  D/DO/DOMM/Catalyst-Plugin-Session-Store-Redis-0.900.tar.gz
Catalyst::Plugin::Session::Test::Store 0.43  H/HA/HAARG/Catalyst-Plugin-Session-0.43.tar.gz
Catalyst::Plugin::Static::Simple   0.37  I/IL/ILMARI/Catalyst-Plugin-Static-Simple-0.37.tar.gz
Catalyst::Plugin::Unicode::Encoding 5.90130  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Request                 undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Request::PartData       undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Request::REST            1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Request::REST::ForBrowsers 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Request::Upload         undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Response                undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Response::Writer        undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Runtime               5.90130  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Script::CGI             undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Script::Create          undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Script::FastCGI         undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Script::Server          undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Script::Test            undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::ScriptRole              undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::ScriptRunner            undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Stats                   undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::Test                    undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::TraitFor::Request::REST  1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::TraitFor::Request::REST::ForBrowsers 1.21  J/JJ/JJNAPIORK/Catalyst-Action-REST-1.21.tar.gz
Catalyst::Utils                   undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::View                    undef  J/JJ/JJNAPIORK/Catalyst-Runtime-5.90130.tar.gz
Catalyst::View::JSON               0.37  H/HA/HAARG/Catalyst-View-JSON-0.37.tar.gz
Catalyst::View::TT                 0.46  J/JJ/JJNAPIORK/Catalyst-View-TT-0.46.tar.gz
CGI::Simple                       1.280  M/MA/MANWAR/CGI-Simple-1.280.tar.gz
CGI::Simple::Cookie               1.280  M/MA/MANWAR/CGI-Simple-1.280.tar.gz
CGI::Simple::Standard             1.280  M/MA/MANWAR/CGI-Simple-1.280.tar.gz
CGI::Simple::Util                 1.280  M/MA/MANWAR/CGI-Simple-1.280.tar.gz
CGI::Struct                        1.21  F/FU/FULLERMD/CGI-Struct-1.21.tar.gz
Chunkstrumenter                   undef  M/MS/MSTROUT/SQL-Abstract-2.000001.tar.gz
Class::Accessor                    0.51  K/KA/KASEI/Class-Accessor-0.51.tar.gz
Class::Accessor::Fast              0.51  K/KA/KASEI/Class-Accessor-0.51.tar.gz
Class::Accessor::Faster            0.51  K/KA/KASEI/Class-Accessor-0.51.tar.gz
Class::C3::Adopt::NEXT             0.14  E/ET/ETHER/Class-C3-Adopt-NEXT-0.14.tar.gz
Class::Data::Inheritable           0.09  R/RS/RSHERER/Class-Data-Inheritable-0.09.tar.gz
Class::Inspector                   1.36  P/PL/PLICEASE/Class-Inspector-1.36.tar.gz
Class::Inspector::Functions        1.36  P/PL/PLICEASE/Class-Inspector-1.36.tar.gz
Class::Load                        0.25  E/ET/ETHER/Class-Load-0.25.tar.gz
Class::Load::PP                    0.25  E/ET/ETHER/Class-Load-0.25.tar.gz
Class::Load::XS                    0.10  E/ET/ETHER/Class-Load-XS-0.10.tar.gz
Class::Method::Modifiers           2.13  E/ET/ETHER/Class-Method-Modifiers-2.13.tar.gz
Class::Mix                        0.006  Z/ZE/ZEFRAM/Class-Mix-0.006.tar.gz
Class::MOP                       2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Attribute            2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Class                2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Class::Immutable::Trait 2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Deprecated           2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Instance             2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Method               2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Method::Accessor     2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Method::Constructor  2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Method::Generated    2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Method::Inlined      2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Method::Meta         2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Method::Wrapped      2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::MiniTrait            2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Mixin                2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Mixin::AttributeCore 2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Mixin::HasAttributes 2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Mixin::HasMethods    2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Mixin::HasOverloads  2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Module               2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Object               2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Overload             2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::MOP::Package              2.2201  E/ET/ETHER/Moose-2.2201.tar.gz
Class::Singleton                    1.6  S/SH/SHAY/Class-Singleton-1.6.tar.gz
Clone                              0.46  G/GA/GARU/Clone-0.46.tar.gz
Clone::Choose                     0.010  H/HE/HERMES/Clone-Choose-0.010.tar.gz
common::sense                      3.75  M/ML/MLEHMANN/common-sense-3.75.tar.gz
Config::Any                        0.32  H/HA/HAARG/Config-Any-0.32.tar.gz
Config::Any::Base                 undef  H/HA/HAARG/Config-Any-0.32.tar.gz
Config::Any::General              undef  H/HA/HAARG/Config-Any-0.32.tar.gz
Config::Any::INI                  undef  H/HA/HAARG/Config-Any-0.32.tar.gz
Config::Any::JSON                 undef  H/HA/HAARG/Config-Any-0.32.tar.gz
Config::Any::Perl                 undef  H/HA/HAARG/Config-Any-0.32.tar.gz
Config::Any::XML                  undef  H/HA/HAARG/Config-Any-0.32.tar.gz
Config::Any::YAML                 undef  H/HA/HAARG/Config-Any-0.32.tar.gz
Config::General                    2.65  T/TL/TLINDEN/Config-General-2.65.tar.gz
Config::General::Extended          2.07  T/TL/TLINDEN/Config-General-2.65.tar.gz
Config::General::Interpolated      2.16  T/TL/TLINDEN/Config-General-2.65.tar.gz
Cookie::Baker                      0.11  K/KA/KAZEBURO/Cookie-Baker-0.11.tar.gz
Cpanel::JSON::XS                   4.32  R/RU/RURBAN/Cpanel-JSON-XS-4.32.tar.gz
Cpanel::JSON::XS::Type            undef  R/RU/RURBAN/Cpanel-JSON-XS-4.32.tar.gz
Crypt::Argon2                     0.012  L/LE/LEONT/Crypt-Argon2-0.012.tar.gz
Crypt::AuthEnc                    0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::AuthEnc::CCM               0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::AuthEnc::ChaCha20Poly1305  0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::AuthEnc::EAX               0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::AuthEnc::GCM               0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::AuthEnc::OCB               0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Bcrypt::Easy            2.012002  A/AV/AVENJ/App-bmkpasswd-2.012002.tar.gz
Crypt::Checksum                   0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Checksum::Adler32          0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Checksum::CRC32            0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher                     0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::AES                0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::Anubis             0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::Blowfish           0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::Camellia           0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::CAST5              0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::DES                0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::DES_EDE            0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::IDEA               0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::KASUMI             0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::Khazad             0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::MULTI2             0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::Noekeon            0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::RC2                0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::RC5                0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::RC6                0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::SAFER_K128         0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::SAFER_K64          0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::SAFER_SK128        0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::SAFER_SK64         0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::SAFERP             0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::SEED               0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::Serpent            0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::Skipjack           0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::Twofish            0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Cipher::XTEA               0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::DES                         2.07  D/DP/DPARIS/Crypt-DES-2.07.tar.gz
Crypt::Digest                     0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Digest::BLAKE2b_160        0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Digest::BLAKE2b_256        0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Digest::BLAKE2b_384        0.077  M/MI/MIK/CryptX-0.077.tar.gz
Crypt::Digest::BLAKE2b_512        0.077  M/MI/MIK/CryptX-0.077.tar.gz
